,nofinesset,rs,coordx,coordy
0,040002313,SELARL PHARMACIE DES SENTEURS,"950,414.1","6,331,695.3"
1,040000069,EPS SAINT MICHEL DE FORCALQUIER,"923,147.4","6,321,804"
2,040002891,SELARL PHARMACIE REY,"935,097","6,348,465.9"
3,040002362,SELARL PHARMACIE LEONE-VILLECROZE,"935,420.8","6,347,610.1"
4,040002750,SELARL PHARMACIE DE LA SAUNERIE,"923,955.3","6,307,570.5"
5,040002933,PHARMACIE BIBAL,"942,675.1","6,332,151.7"
6,040003741,SSIAD DU CH DIEUDONNE COLLOMP BANON,"910,727.6","6,330,057.9"
7,040002610,PHARMACIE BLANC,"989,964.4","6,351,163.5"
8,040780660,MAISON D ENFANTS SAINT MARTIN,"959,035.4","6,338,365.5"
9,040784043,FOYER RESTAURANT DE DIGNE,"959,217","6,338,077.9"
10,040780629,CENTRE JEAN ESCUDIE,"990,925.5","6,371,547.3"
11,040785172,FOYER HEBERG.ADULT.HAND.PAUL MARTIN,"958,889.5","6,338,619.8"
12,040785925,EHPAD L'OUSTAOU,"948,625.8","6,307,051.1"
13,040786113,SERVICE AIDE MENAGERE A DOMICILE,"932,163.9","6,318,547.9"
14,040785776,EHPAD SAINTE-ANNE,"996,682.1","6,375,669.7"
15,040786626,INSTITUT AVENIR PROVENCE,"924,963.4","6,306,669.2"
16,040786378,CONSULTATIONS DE NOURRISSONS,"957,631.5","6,336,948.2"
17,040788580,HOPITAL DE JOUR PSY IJ CHATEAU ARNOUX,"941,033.4","6,337,910.4"
18,040787996,ASSOC. CTRE SOCIAL STE TULLE,"922,747.1","6,302,485.3"
19,040788887,HOPITAL DE JOUR PSY GEN SISTERON,"935,327.9","6,348,362.1"
20,040788937,CENTRE DE SANTE DENTAIRE,"924,030.2","6,307,481.5"
21,050000348,CHI DES ALPES DU SUD SITE DE GAP,"944,027.7","6,388,895.9"
22,040789141,AIDE A DOMICILE EN MILIEU RURAL,"997,855.7","6,380,303.8"
23,040789398,SERVICE D'AIDE MENAGERE,"951,842.4","6,344,025.9"
24,050000223,CENTRE HOSPITALIER AIGUILLES QUEYRAS,"1,005,805.7","6,416,579"
25,050000793,A.D.M.R. - RIBIERS,"928,326.4","6,351,826.9"
26,050000835,SAFEP SSEFIS URAPEDA,"945,057.5","6,389,730.7"
27,050000819,A.D.M.R. - L'ARGENTIERE,"981,305.6","6,416,586.9"
28,050001932,EFS ALPES MEDITERRANEE CH DE BRIANCON,"986,449.5","6,429,713.3"
29,050002104,ESAT DE ROSANS,"897,230.4","6,367,860"
30,050003037,SELARL PHIE DE L'ARGENTIERE LA BESSEE,"981,295.1","6,417,240.2"
31,050002815,SELARL PHARMACIE DU CHAMP DE MARS,"987,682.8","6,429,175.5"
32,050004225,FOYER RESTAURANT,"944,442.6","6,389,297.4"
33,050003995,PHARMACIE BOURRELLY,"953,837.9","6,390,600"
34,050003904,SELEURL PHARMACIE SARRASIN,"960,199.6","6,388,323.2"
35,050003193,SELEURL PHARMACIE DU SOLEIL,"977,542.7","6,391,154.5"
36,050003292,SELEURL PHARMACIE CEDRIC DELON,"944,522.8","6,389,233"
37,050003755,PHARMACIE PEYRON,"989,233.4","6,402,324"
38,050005123,FOYER D'HEBERGEMENT LA SOURCE,"946,641.6","6,391,742.2"
39,050005198,CENTRE PREORIENTATION COORDINATION,"986,242.6","6,430,168.3"
40,050005347,CHRS HELIADE,"944,248","6,389,174.4"
41,050006154,SELARL PHARMACIE DU GUIL,"990,229","6,402,808.7"
42,050006360,SAVS LA SOURCE,"946,641.6","6,391,742.2"
43,050006378,SESSAD LE JOUCLARET,"986,162.4","6,430,096.4"
44,050006980,ITEP DU CENTRE JEAN CLUZEL (EP),"968,287","6,387,999.2"
45,050006352,FAM LA SOURCE,"946,641.6","6,391,742.2"
46,060003951,CENTRE PMI TOURETTE LEVENS,"1,043,896.8","6,308,190.9"
47,060000536,HOPITAL SAINT ANTOINE,"1,040,996.4","6,339,564.3"
48,060004264,SARL PHARMACIE SPORTOUCH,"1,048,957.3","6,299,363.1"
49,060003555,EHPAD LA GORGHETTA,"1,043,962.7","6,307,690.2"
50,060004348,UNITE EDUCATIVE ACTIVITES DE JOUR,"1,042,277.6","6,300,888.2"
51,060003746,CENTRE PLANIFICATION LA FORGE,"1,047,399.3","6,303,161.4"
52,060004363,SELARL PHARMACIE ANDORRA,"1,056,411.4","6,303,688.8"
53,060004926,SELARL PHARMACIE ALLIBERT,"1,033,617.1","6,293,320.1"
54,060004314,SARL PHARMACIE SEGUY,"1,056,174.1","6,303,616.6"
55,060004975,PHARMACIE BARTHELON,"1,035,693.2","6,294,696.5"
56,060005063,SELARL PHARMACIE DE COLOMARS,"1,039,889.9","6,305,175.5"
57,020002978,PHARMACIE CORMONT,"714,412.4","6,946,033.2"
58,030002208,CH DPT COEUR DU BOURBONNAIS TRONGET,"705,086.4","6,591,177.1"
59,020012779,IME EPHESE FÈRE-EN-TARDENOIS,"736,596.2","6,900,631.2"
60,050002898,CENTRE DE FORMATION CRP CHANTOISEAU,"985,615","6,430,906"
61,010009363,LBM UNILIANS MIRIBEL,"851,655.8","6,526,840.2"
62,040004152,MARPA LA POMME D'OR,"941,389","6,365,157.4"
63,060004728,CPO LE COTEAU,"1,035,824.9","6,300,538.4"
64,050003029,EHPAD JEAN MARTIN,"943,968.6","6,389,093"
65,040004145,ATELIER PROTEGE LOU JAS,"939,992.2","6,336,144"
66,030003008,"SHID ""LA PASSERELLE""","749,214.2","6,572,408.6"
67,010008969,LBM EUROFINS LABAZUR RA BELLEY,"909,540.3","6,521,285.1"
68,010002129,CLINIQUE DE READAPTATION LES ARBELLES,"872,133.8","6,568,458.9"
69,030006399,LBM MAYMAT VARENNES / ALLIER,"731,144.9","6,579,194.2"
70,020013298,FV APEI-2V COYOLLES,"703,777.3","6,903,374.5"
71,030003610,PHARMACIE DE RIMARD,"670,374.5","6,581,285.7"
72,030002141,PHARMACIE LAMARQUE,"735,226.2","6,559,373.4"
73,030002695,SELARL PHARMACIE PEYROUX,"659,785.7","6,586,076"
74,030001473,LA GRANDE PHARMACIE DU CARRE D'AS,"730,980.7","6,557,553.3"
75,030002943,PHARMACIE DE LA BRANDE,"683,143.5","6,577,980"
76,030002091,PHARMACIE BOUCARD-LEVADOUX,"733,606.8","6,559,653"
77,030005540,PHARMACIE BARSE,"732,485.2","6,558,492.3"
78,030002331,PHARMACIE GUILLERAULT,"752,207.1","6,602,562.5"
79,030001622,PHARMACIE  E. ROSSEEL-PAILLERET,"704,427","6,609,519.2"
80,030003677,PHARMACIE GUITTARD,"669,123.6","6,582,865.1"
81,030003727,PHARMACIE ALZIAL,"668,945.9","6,583,108.5"
82,030004360,PHARMACIE BOURGEON,"709,480.7","6,597,811.3"
83,030006225,SERVICE MANDATAIRE DU C.C.A.S.,"729,946.6","6,557,074.7"
84,030001366,SELARL PHARMACIE DUC,"724,097.8","6,609,892.2"
85,030002430,PHARMACIE ROUSSILLON-DURIN,"684,348.8","6,581,787.4"
86,030005680,PHARMACIE BOUCHANT,"726,493.5","6,607,775.2"
87,030006381,CTRE AIDE PERSON AGEES MALADES MOULINS,"725,644.5","6,607,210.4"
88,030005011,PHARMACIE GREIL - GRANDE,"732,076","6,560,191.6"
89,030006027,CENTRE ACTION MEDICO-SOCIALE PRECOCE,"724,989.4","6,608,121.2"
90,030005490,PHARMACIE  DEMONNET - COLOMBIER,"732,542.3","6,558,373.1"
91,030006514,SERVICE D'AIDE AUX PERSONNES AGEES,"748,559","6,572,196.9"
92,030780605,EHPAD DE GAYETTE,"734,516.1","6,581,532"
93,030780969,EHPAD  D'ECHASSIERES,"695,005.4","6,564,784.8"
94,030005524,PHARMACIE MARANDON,"732,524.5","6,558,410.2"
95,030780035,ETABLISSEMENT THERMAL,"673,812.7","6,576,570.1"
96,030006613,CENTRE D'IMAGERIE MEDICALE,"670,604.8","6,582,804.6"
