codgeo;libgeo;an;pop65p
01001;L'Abergement-Clémenciat;2022;172
01002;L'Abergement-de-Varey;2022;50
01004;Ambérieu-en-Bugey;2022;2809
01005;Ambérieux-en-Dombes;2022;326
01006;Ambléon;2022;32
01007;Ambronay;2022;479
01008;Ambutrix;2022;128
01009;Andert-et-Condon;2022;87
01010;Anglefort;2022;189
01011;Apremont;2022;80
01012;Aranc;2022;80
01013;Arandas;2022;38
01014;Arbent;2022;784
01015;Arboys en Bugey;2022;180
01016;Arbigny;2022;101
01017;Argis;2022;106
01019;Armix;2022;8
01021;Ars-sur-Formans;2022;280
01022;Artemare;2022;337
01023;Asnières-sur-Saône;2022;14
01024;Attignat;2022;648
01025;Bâgé-Dommartin;2022;684
01026;Bâgé-le-Châtel;2022;252
01027;Balan;2022;290
01028;Baneins;2022;110
01029;Beaupont;2022;127
01030;Beauregard;2022;136
01031;Bellignat;2022;741
01032;Béligneux;2022;533
01033;Valserhône;2022;2764
01034;Belley;2022;2438
01035;Belleydoux;2022;59
01036;Valromey-sur-Séran;2022;382
01037;Bénonces;2022;65
01038;Bény;2022;169
01040;Béréziat;2022;76
01041;Bettant;2022;148
01042;Bey;2022;53
01043;Beynost;2022;922
01044;Billiat;2022;121
01045;Birieux;2022;38
01046;Biziat;2022;137
01047;Blyes;2022;126
01049;La Boisse;2022;538
01050;Boissey;2022;49
01051;Bolozon;2022;26
01052;Bouligneux;2022;84
01053;Bourg-en-Bresse;2022;9610
01054;Bourg-Saint-Christophe;2022;212
01056;Boyeux-Saint-Jérôme;2022;88
01057;Boz;2022;84
01058;Brégnier-Cordon;2022;177
01060;Brénod;2022;146
01061;Brens;2022;244
01062;Bressolles;2022;169
01063;Brion;2022;152
01064;Briord;2022;124
01065;Buellas;2022;392
01066;La Burbanche;2022;16
01067;Ceignes;2022;24
01068;Cerdon;2022;182
01069;Certines;2022;288
01071;Cessy;2022;579
01072;Ceyzériat;2022;756
01073;Ceyzérieu;2022;296
01074;Chalamont;2022;499
01075;Chaleins;2022;195
01076;Chaley;2022;40
01077;Challes-la-Montagne;2022;56
01078;Challex;2022;286
01079;Champagne-en-Valromey;2022;262
01080;Champdor-Corcelles;2022;144
01081;Champfromier;2022;152
01082;Chanay;2022;93
01083;Chaneins;2022;148
01084;Chanoz-Châtenay;2022;146
01085;La Chapelle-du-Châtelard;2022;70
01087;Charix;2022;59
01088;Charnoz-sur-Ain;2022;132
01089;Château-Gaillard;2022;306
01090;Châtenay;2022;81
01092;Châtillon-la-Palud;2022;291
01093;Châtillon-sur-Chalaronne;2022;1501
01094;Chavannes-sur-Reyssouze;2022;143
01095;Nivigne et Suran;2022;180
01096;Chaveyriat;2022;179
01098;Chazey-Bons;2022;249
01099;Chazey-sur-Ain;2022;273
01100;Cheignieu-la-Balme;2022;48
01101;Chevillard;2022;26
01102;Chevroux;2022;163
01103;Chevry;2022;190
01104;Chézery-Forens;2022;85
01105;Civrieux;2022;246
01106;Cize;2022;39
01107;Cleyzieu;2022;32
01108;Coligny;2022;388
01109;Collonges;2022;220
01110;Colomieu;2022;35
01111;Conand;2022;29
01112;Condamine;2022;49
01113;Condeissiat;2022;134
01114;Confort;2022;183
