Code géographique;Libellé géographique;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
01001;L'Abergement-Clémenciat;8;13;7;7;5;8;8;13;7;8;10;4;10;12;8;11;8;3
01002;L'Abergement-de-Varey;4;3;0;7;1;5;3;5;6;4;1;1;1;1;4;1;1;0
01004;Ambérieu-en-Bugey;224;186;211;228;218;208;238;222;220;204;229;220;237;215;231;200;175;185
01005;Ambérieux-en-Dombes;23;21;27;22;21;26;17;15;14;18;21;22;21;41;34;28;25;25
01006;Ambléon;1;1;1;4;1;1;1;2;2;1;0;1;0;1;1;1;1;2
01007;Ambronay;35;33;34;31;42;35;34;21;27;41;33;32;36;31;19;29;21;26
01008;Ambutrix;13;11;14;10;13;11;10;11;12;3;6;7;10;9;6;11;7;7
01009;Andert-et-Condon;8;1;6;1;4;0;3;2;1;1;2;3;4;6;4;2;1;2
01010;Anglefort;15;14;13;10;10;9;10;18;6;20;8;14;5;14;15;17;10;12
01011;Apremont;5;6;5;6;4;4;3;4;5;4;8;0;5;5;6;1;0;5
01012;Aranc;9;3;5;5;2;2;4;2;2;5;3;3;2;1;1;3;1;5
01013;Arandas;1;0;4;2;0;2;2;3;2;0;1;0;0;0;1;1;2;1
01014;Arbent;39;38;48;28;41;39;28;31;22;30;39;30;28;31;34;28;23;34
01015;Arboys en Bugey;3;7;2;5;5;7;8;4;3;3;7;6;10;5;2;4;7;9
01016;Arbigny;5;5;5;6;6;4;7;7;7;3;5;3;6;3;2;4;2;2
01017;Argis;6;6;6;7;12;7;4;3;5;2;3;6;4;5;1;2;2;0
01019;Armix;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0
01021;Ars-sur-Formans;17;20;12;16;20;19;18;12;8;16;21;15;18;18;16;11;10;12
01022;Artemare;6;19;8;9;14;11;13;7;6;9;3;6;8;3;8;8;6;11
01023;Asnières-sur-Saône;2;0;2;0;0;1;2;2;2;1;1;1;2;0;0;1;1;0
01024;Attignat;35;46;46;50;44;43;39;38;37;32;38;35;37;32;31;28;30;28
01025;Bâgé-Dommartin;54;53;50;51;40;62;46;62;47;39;41;50;29;49;53;23;19;39
01026;Bâgé-le-Châtel;7;14;8;6;6;6;15;6;13;9;14;14;8;10;15;12;12;9
01027;Balan;22;17;18;30;31;30;34;25;24;33;28;26;29;32;27;26;26;24
01028;Baneins;9;10;4;7;9;9;7;11;6;6;6;9;4;9;10;4;7;8
01029;Beaupont;7;14;9;10;9;10;4;7;3;4;2;3;6;4;7;1;7;4
01030;Beauregard;15;11;8;14;16;10;14;8;11;10;9;11;6;18;13;12;11;12
01031;Bellignat;76;52;48;51;62;46;55;50;45;35;46;30;30;43;33;39;36;37
01032;Béligneux;62;63;61;54;60;52;65;65;48;52;32;47;47;50;47;40;45;49
01033;Valserhône;199;200;239;210;241;234;217;233;243;224;199;213;225;229;203;211;199;166
01034;Belley;116;129;122;125;123;116;120;113;85;94;93;85;87;84;78;85;81;88
01035;Belleydoux;1;2;2;4;3;6;4;3;2;2;2;3;3;3;0;1;4;2
01036;Valromey-sur-Séran;15;19;9;9;14;10;7;12;10;7;10;8;12;10;8;9;8;10
01037;Bénonces;1;3;5;4;2;2;6;5;2;5;4;0;4;4;3;2;3;2
01038;Bény;10;10;7;12;8;5;9;7;6;5;8;6;8;10;5;8;6;8
01040;Béréziat;10;7;7;5;5;9;5;8;3;6;5;3;4;7;6;4;3;5
01041;Bettant;8;11;18;12;7;12;15;3;8;13;12;5;8;9;10;9;3;5
01042;Bey;1;3;2;1;4;1;1;4;0;5;2;1;2;1;2;0;1;5
01043;Beynost;58;51;49;46;42;35;39;40;41;34;39;35;58;45;53;58;65;62
01044;Billiat;10;1;7;7;7;8;7;3;4;6;5;9;5;6;7;14;4;4
01045;Birieux;1;4;6;4;4;7;6;2;6;4;2;8;5;5;3;2;2;4
01046;Biziat;7;11;8;11;11;17;12;12;2;7;9;9;8;8;14;7;11;6
01047;Blyes;10;11;11;8;7;14;19;9;8;6;21;23;18;14;22;24;22;20
01049;La Boisse;32;34;26;31;29;30;30;33;37;55;32;47;31;30;44;34;37;29
01050;Boissey;2;8;7;3;6;6;3;6;3;5;3;5;4;5;5;2;1;6
01051;Bolozon;0;2;2;0;1;1;3;2;2;1;1;1;1;1;1;1;0;2
01052;Bouligneux;2;1;3;3;3;1;3;2;2;4;1;4;2;3;1;2;1;2
01053;Bourg-en-Bresse;532;537;513;497;539;555;546;463;520;503;495;487;446;418;414;375;415;428
01054;Bourg-Saint-Christophe;25;19;17;25;11;14;24;20;15;15;17;21;16;36;17;21;15;17
01056;Boyeux-Saint-Jérôme;10;0;4;5;7;3;6;3;6;4;3;3;2;3;3;1;2;1
01057;Boz;2;11;7;6;3;6;2;3;5;5;3;8;6;4;3;3;2;2
01058;Brégnier-Cordon;15;11;11;12;6;7;6;6;12;10;9;7;9;11;7;7;8;8
01060;Brénod;3;7;10;5;5;8;4;5;3;6;6;1;4;3;2;5;9;5
01061;Brens;12;20;21;15;11;9;17;8;12;10;9;8;10;10;10;8;7;11
01062;Bressolles;9;4;4;10;14;10;13;7;14;6;14;8;9;14;9;11;12;7
01063;Brion;6;3;4;3;1;3;4;5;4;5;3;7;4;5;4;3;1;6
01064;Briord;15;14;12;12;6;15;8;8;12;10;12;13;16;14;17;13;15;11
01065;Buellas;12;17;17;23;16;20;21;22;17;22;18;23;20;29;24;14;16;14
01066;La Burbanche;0;0;3;2;2;0;2;0;0;3;0;0;1;0;1;1;0;0
01067;Ceignes;1;2;3;4;4;3;3;3;3;4;0;4;3;1;3;0;3;1
01068;Cerdon;5;10;8;11;5;14;5;11;5;8;5;10;5;5;3;9;4;5
01069;Certines;17;13;19;19;20;11;14;16;20;16;21;18;18;15;24;14;7;16
01071;Cessy;27;37;30;42;53;60;53;59;46;68;48;61;48;60;60;57;58;60
01072;Ceyzériat;32;29;35;39;34;27;34;21;35;34;31;28;19;33;28;20;19;21
01073;Ceyzérieu;9;11;5;6;16;6;13;6;7;4;7;8;5;8;7;8;7;6
01074;Chalamont;46;30;30;38;32;32;26;31;35;26;31;25;31;28;21;26;21;28
01075;Chaleins;18;14;15;13;12;16;19;19;14;18;17;20;29;25;21;20;18;23
01076;Chaley;0;2;1;0;0;0;1;2;3;0;1;1;2;0;1;0;0;1
01077;Challes-la-Montagne;2;4;1;5;3;4;2;1;4;2;5;1;3;4;2;0;1;1
01078;Challex;7;6;13;10;21;11;17;17;13;12;10;11;8;13;11;6;9;8
01079;Champagne-en-Valromey;5;7;4;9;5;7;6;6;2;7;5;5;5;3;8;8;5;2
01080;Champdor-Corcelles;14;10;15;9;6;6;6;8;3;4;3;4;2;4;7;3;5;2
01081;Champfromier;12;6;4;5;7;7;10;11;6;5;7;5;10;11;3;8;1;6
01082;Chanay;6;5;4;3;6;8;4;9;6;8;6;8;7;2;6;5;5;3
01083;Chaneins;6;9;7;8;8;13;10;9;12;4;15;13;7;13;10;14;6;10
01084;Chanoz-Châtenay;14;10;14;14;12;17;9;11;11;13;19;16;8;14;10;10;8;12
01085;La Chapelle-du-Châtelard;4;5;6;8;7;4;3;7;2;3;3;3;4;3;7;4;1;2
01087;Charix;9;6;6;0;2;1;1;4;3;4;3;1;2;2;2;2;0;2
01088;Charnoz-sur-Ain;11;5;10;6;11;7;6;10;12;8;10;14;15;13;10;11;11;12
01089;Château-Gaillard;17;26;24;18;23;31;29;25;28;38;33;24;23;25;29;30;28;25
01090;Châtenay;4;7;3;8;3;3;3;4;1;2;3;3;7;3;3;0;6;5
01092;Châtillon-la-Palud;19;18;19;15;18;20;13;19;15;27;21;19;18;20;20;15;18;13
01093;Châtillon-sur-Chalaronne;52;49;58;47;55;49;51;32;33;39;46;36;35;40;49;31;54;31
01094;Chavannes-sur-Reyssouze;6;10;11;8;8;4;9;11;4;5;6;6;5;6;7;5;5;4
01095;Nivigne et Suran;17;7;11;10;9;8;13;4;8;9;8;9;8;8;4;6;3;6
01096;Chaveyriat;8;15;11;11;13;17;16;10;12;9;10;13;5;14;7;15;11;10
01098;Chazey-Bons;3;7;9;6;11;7;13;17;15;8;18;15;8;17;11;9;13;9
01099;Chazey-sur-Ain;16;17;17;20;14;17;18;14;15;15;13;18;18;13;23;7;16;16
01100;Cheignieu-la-Balme;3;0;1;1;0;1;0;2;0;0;1;1;1;1;0;0;0;0
01101;Chevillard;0;1;2;2;1;3;4;0;3;2;4;0;2;2;1;2;0;0
01102;Chevroux;13;16;8;11;22;11;13;10;8;13;7;8;10;13;11;7;13;10
01103;Chevry;7;10;8;12;11;7;14;15;22;23;27;32;29;18;18;28;22;26
01104;Chézery-Forens;7;5;3;3;6;4;5;2;7;4;2;4;2;5;1;3;5;4
01105;Civrieux;7;8;10;11;17;17;12;22;26;17;26;34;28;22;31;28;21;19
01106;Cize;3;2;1;2;2;2;1;0;2;1;2;1;4;0;0;1;2;1
01107;Cleyzieu;2;2;1;0;2;1;0;2;1;2;2;2;1;3;0;1;2;1
01108;Coligny;13;12;8;9;11;13;9;14;11;10;6;10;9;10;10;14;11;6
01109;Collonges;28;19;15;16;28;19;18;27;28;30;26;20;28;26;28;18;27;29
01110;Colomieu;1;2;1;1;2;2;1;2;2;2;4;2;0;2;2;3;0;2
01111;Conand;1;2;0;4;3;3;2;5;2;0;1;0;1;0;0;3;1;2
01112;Condamine;5;9;7;3;5;4;6;6;7;10;2;12;10;5;8;5;8;5
01113;Condeissiat;6;5;10;12;6;17;6;10;8;10;10;8;10;10;10;13;11;7
01114;Confort;7;6;1;5;9;11;8;3;8;4;9;7;7;8;10;3;9;4
01115;Confrançon;14;9;18;20;29;14;29;16;13;22;17;16;13;21;18;16;16;13
01116;Contrevoz;11;4;7;8;3;1;6;7;2;4;4;6;6;3;3;1;3;3
01117;Conzieu;3;4;1;3;0;0;3;3;2;0;2;2;0;1;3;3;2;2
01118;Corbonod;20;7;12;9;13;9;9;17;12;11;10;9;9;19;5;15;16;12
01121;Corlier;1;1;0;0;1;1;0;1;1;2;1;0;2;1;2;2;0;0
01123;Cormoranche-sur-Saône;19;9;11;12;10;8;12;7;13;12;10;5;12;9;15;10;8;6
01124;Cormoz;7;8;8;10;10;9;9;9;5;5;7;8;9;9;8;5;9;6
01125;Corveissiat;11;9;4;9;5;4;6;9;8;4;7;9;6;2;5;9;2;5
01127;Courmangoux;8;3;8;9;1;11;6;6;2;4;1;6;6;3;4;4;2;5
01128;Courtes;1;1;2;1;1;4;4;4;2;4;2;3;3;1;7;3;4;5
01129;Crans;2;4;2;3;4;4;1;4;10;1;3;6;2;5;2;7;6;2
01130;Bresse Vallons;28;29;31;25;32;34;31;29;26;24;30;27;28;26;26;25;32;24
01133;Cressin-Rochefort;3;4;6;1;5;2;5;7;5;4;2;2;3;3;5;3;2;3
01134;Crottet;10;18;12;15;24;20;19;13;18;15;11;24;20;22;20;15;14;16
01135;Crozet;15;12;16;13;13;17;10;13;24;16;14;22;13;13;26;18;16;18
01136;Cruzilles-lès-Mépillat;13;9;7;11;8;12;6;9;5;10;10;13;9;16;13;7;6;8
01138;Culoz-Béon;56;46;46;34;42;45;37;43;63;55;53;40;28;34;39;29;34;42
01139;Curciat-Dongalon;9;7;8;0;4;9;6;4;6;0;7;0;6;2;1;1;4;0
01140;Curtafond;8;5;9;10;9;7;12;4;7;7;6;11;11;16;16;9;9;6
01141;Cuzieu;7;6;4;2;2;5;3;2;2;2;4;3;4;1;3;1;2;4
01142;Dagneux;66;50;61;67;53;68;72;58;76;63;69;43;49;68;52;53;46;46
01143;Divonne-les-Bains;75;68;60;65;78;60;84;86;104;85;94;79;104;86;79;76;85;86
01145;Dompierre-sur-Veyle;14;9;13;14;9;13;10;10;13;8;14;13;14;16;16;7;6;14
01146;Dompierre-sur-Chalaronne;9;4;6;6;7;6;5;2;3;4;1;3;5;3;5;5;4;5
01147;Domsure;2;4;3;4;2;4;5;7;6;4;6;3;8;13;5;6;5;6
01148;Dortan;23;15;25;8;14;17;16;17;18;22;21;13;20;16;19;23;13;14
01149;Douvres;7;10;7;11;10;11;11;10;13;7;8;14;8;10;8;8;7;6
01150;Drom;2;4;4;2;2;2;2;5;1;3;3;3;2;4;4;3;2;3
01151;Druillat;11;13;12;14;12;12;9;14;8;11;11;9;13;21;13;9;10;14
01152;Échallon;9;7;7;7;5;6;7;9;6;7;9;10;4;7;10;10;10;5
01153;Échenevex;4;11;9;13;18;7;12;20;16;18;22;14;16;22;17;18;27;23
01155;Évosges;1;1;5;1;2;2;0;4;1;0;2;0;0;1;1;0;1;1
01156;Faramans;6;7;11;13;12;14;4;8;6;7;10;4;9;11;12;9;8;12
01157;Fareins;20;17;28;20;26;23;21;19;18;24;14;24;23;31;30;32;25;27
01158;Farges;3;7;7;7;7;6;4;10;8;13;8;6;2;9;7;8;6;7
01159;Feillens;31;40;35;38;23;39;37;43;44;34;44;35;32;33;39;29;29;34
01160;Ferney-Voltaire;93;86;80;90;99;90;98;105;83;98;100;95;99;108;116;119;125;131
01162;Flaxieu;0;0;1;0;0;2;0;0;1;1;0;0;1;1;0;2;0;0
01163;Foissiat;19;12;23;21;22;17;23;18;24;22;14;9;20;32;16;17;13;22
01165;Francheleins;9;16;15;26;20;18;17;17;18;11;18;13;17;11;14;11;15;12
01166;Frans;20;18;17;17;29;24;29;18;37;25;24;18;28;24;38;28;26;34
01167;Garnerans;7;5;11;4;2;11;6;6;2;4;7;6;7;7;7;4;3;4
01169;Genouilleux;6;6;6;2;7;6;5;8;5;7;6;12;4;12;5;10;11;4
01170;Béard-Géovreissiat;14;15;5;7;12;8;13;15;8;14;10;10;7;13;12;2;6;10
01171;Géovreisset;6;13;8;10;3;8;8;6;2;7;12;8;6;10;4;12;6;10
01173;Gex;113;134;161;155;152;156;156;175;209;194;213;188;199;160;165;163;184;182
01174;Giron;3;0;1;4;2;4;1;1;2;0;1;3;1;1;0;1;0;0
01175;Gorrevod;12;8;13;7;8;10;10;12;9;9;6;10;8;4;9;3;9;10
01177;Grand-Corent;4;3;4;2;4;1;1;2;1;2;1;1;2;2;0;2;0;0
01179;Grièges;26;18;17;19;17;16;27;14;13;16;12;13;14;23;13;13;19;11
01180;Grilly;4;5;6;5;6;4;4;4;6;1;6;5;6;7;6;10;8;4
01181;Groissiat;11;15;4;16;14;11;13;10;8;6;6;5;12;15;7;10;6;4
01183;Guéreins;16;18;34;16;13;16;16;18;16;20;13;8;14;15;14;12;17;16
01184;Hautecourt-Romanèche;12;9;10;7;6;9;5;10;6;4;5;7;5;4;5;5;6;9
01185;Plateau d'Hauteville;39;63;48;47;51;46;42;42;35;32;37;29;35;38;29;33;25;29
01187;Haut Valromey;5;7;9;7;9;7;11;8;5;2;7;7;3;4;10;9;8;8
01188;Illiat;6;9;4;11;11;8;7;2;11;7;7;6;9;8;4;5;6;4
01189;Injoux-Génissiat;10;15;10;13;17;14;16;12;13;12;11;10;17;5;10;10;2;11
01190;Innimond;1;1;1;2;0;0;0;1;1;1;0;0;0;1;0;0;0;0
01191;Izenave;0;1;5;3;3;3;5;0;0;2;2;1;3;1;3;1;4;2
01192;Izernore;45;27;29;30;34;23;24;21;20;22;29;15;23;30;28;20;23;16
01193;Izieu;2;2;1;0;2;1;0;1;2;2;0;1;2;1;1;0;0;1
01194;Jassans-Riottier;74;85;62;58;72;75;60;75;83;66;76;72;61;58;76;49;45;61
01195;Jasseron;17;21;10;15;17;14;26;19;12;12;20;18;15;22;7;17;13;21
01196;Jayat;13;17;28;16;16;12;23;14;15;13;12;9;12;9;18;10;20;18
01197;Journans;4;3;5;5;2;2;4;5;3;1;7;4;4;2;4;3;5;4
01198;Joyeux;2;7;3;6;4;2;6;4;1;5;4;4;3;1;2;1;2;2
