ANNEE;NOM_MAT;TYPE;STATUT;FI_ET;FI_EJ;COM;NOMCOM;CPO;ADRESSE;LIT_OBS;SALTRAV;ACCTOT
2020;CH DU HAUT BUGEY - GEOVREISSET;1;PUBLIC;010005239;010008407;01283;OYONNAX;01117;1 RTE DE VEYZIAT;20;3;672
2023;CH DU HAUT BUGEY - GEOVREISSET;1;PUBLIC;010005239;010008407;01283;OYONNAX;01108;1 RTE DE VEYZIAT;17;3;531
2018;HOPITAL PRIVE D'AMBERIEU;1;PRIVE LUCRATIF;010780203;010010718;01004;AMBERIEU-EN-BUGEY;01506;EN PRAGNAT NORD;15;4;747
2013;CENTRE HOSPITALIER DE SAINT-QUENTIN;2b;PUBLIC;020000162;020000063;02691;SAINT-QUENTIN;02321;1 AV MICHEL DE L'HOSPITAL;38;4;1360
2021;CH CHAUNY;1;PUBLIC;020000535;020000287;02173;CHAUNY;02303;94 SQ DES ANCIENS COMBATTANTS;16;3;525
2018;CH CHÂTEAU-THIERRY;2a;PUBLIC;020001061;020004404;02168;CHATEAU-THIERRY;02400;RTE DE VERDILLY;15;3;563
2018;HOPITAL PRIVE SAINT CLAUDE;1;PRIVE LUCRATIF;020010047;020001632;02691;SAINT-QUENTIN;02315;1 BD DU DOCTEUR SCHWEITZER;17;4;622
2014;CENTRE HOSPITALIER MOULINS YZEURE;2a;PUBLIC;030000061;030780092;03190;MOULINS;03006;10 AV GAL DE GAULLE;23;4;1184
2015;CENTRE HOSPITALIER MOULINS YZEURE;2a;PUBLIC;030000061;030780092;03190;MOULINS;03006;10 AV GAL DE GAULLE;23;4;1094
2013;CENTRE HOSPITALIER DE MONTLUCON;2b;PUBLIC;030000079;030780100;03185;MONTLUCON;03109;18 AV DU 8 MAI 1945;24;3;1213
2015;CENTRE HOSPITALIER DE MONTLUCON;2b;PUBLIC;030000079;030780100;03185;MONTLUCON;03109;18 AV DU 8 MAI 1945;24;3;1097
2022;CENTRE HOSPITALIER DE DIGNE LES BAINS;1;PUBLIC;040000911;040788879;04070;DIGNE LES BAINS;04003;QUA SAINT CHRISTOPHE;11;2;359
2013;CH DES ESCARTONS DE BRIANCON;1;PUBLIC;050000231;050000116;05023;BRIANCON;05105;24 AV ADRIEN DAURELLE;12;2;386
2015;CH DES ESCARTONS DE BRIANCON;1;PUBLIC;050000231;050000116;05023;BRIANCON;05105;24 AV ADRIEN DAURELLE;9;2;353
2019;CH DES ESCARTONS DE BRIANCON;1;PUBLIC;050000231;050000116;05023;BRIANCON;05105;24 AV ADRIEN DAURELLE;9;2;336
2023;CENTRE HOSPITALIER DE GRASSE;2b;PUBLIC;060000478;060780897;06069;GRASSE;06135;CHE DE CLAVARY;32;6;1784
2017;CH PIERRE NOUVEAU CANNES;2a;PUBLIC;060000544;060780988;06029;CANNES;06414;15 AV DES BROUSSAILLES;28;4;1459
2023;CL AMBROISE PARE TOULOUSE;2b;PRIVE LUCRATIF;310780382;310000179;31555;TOULOUSE;31082;387 RTE DE SAINT SIMON;44;8;1453
2020;HOPITAL JOSEPH DUCUING;1;PRIVE NON LUCRATIF;310781067;310788898;31555;TOULOUSE;31076;15 R DE VARSOVIE;39;5;2473
2017;CLINIQUE D'OCCITANIE;1;PRIVE LUCRATIF;310781505;310000492;31395;MURET;31605;20 AV BERNARD IV;20;3;603
2020;CL D'OCCITANIE;1;PRIVE LUCRATIF;310781505;310000492;31395;MURET;31605;20 AV BERNARD IV;20;3;534
2015;CENTRE HOSPITALIER D'ARCACHON;1;PUBLIC;330000555;330781204;33529;LA TESTE-DE-BUCH;33164;AV JEAN HAMEAU;22;3;978
2023;POLYCLINIQUE BORDEAUX RIVE DROITE;1;PRIVE LUCRATIF;330780263;330000134;33249;LORMONT;33310;24 R DES CAVAILLES;30;6;1278
2014;POLYCLIN BORDEAUX-NORD AQUITAINE;2a;PRIVE LUCRATIF;330780479;330000274;33063;BORDEAUX;33077;15 R CLAUDE BOUCHER;50;7;2728
2019;POLYCLIN BORDEAUX-NORD AQUITAINE;2a;PRIVE LUCRATIF;330780479;330000274;33063;BORDEAUX;33077;33 R DU DOCTEUR FINLAY;46;7;2855
2020;POLYCLIN BORDEAUX-NORD AQUITAINE;2a;PRIVE LUCRATIF;330780479;330000274;33063;BORDEAUX;33077;33 R DU DOCTEUR FINLAY;46;7;2815
2021;HOPITAL PRIVE WALLERSTEIN;1;PRIVE NON LUCRATIF;330780537;330000324;33011;ARES;33740;14B BD JAVAL;13;2;385
2015;CHU PELLEGRIN;3;PUBLIC;330781360;330781196;33063;BORDEAUX;33076;PL AMELIE RABA LEON;72;13;5262
2022;GROUPE HOSPITALIER PELLEGRIN - CHU;3;PUBLIC;330781360;330781196;33063;BORDEAUX;33076;PL AMELIE RABA LEON;81;13;5846
2023;GROUPE HOSPITALIER PELLEGRIN - CHU;3;PUBLIC;330781360;330781196;33063;BORDEAUX;33076;PL AMELIE RABA LEON;81;13;5407
2016;POLYCLINIQUE JEAN VILLAR;1;PRIVE LUCRATIF;330782582;330000928;33075;BRUGES;33523;56 AV MARYSE BASTIE;25;4;980
2022;POLYCLINIQUE JEAN VILLAR;1;PRIVE LUCRATIF;330782582;330000928;33075;BRUGES;33523;56 AV MARYSE BASTIE;25;4;1030
2023;CH BEZIERS;2b;PUBLIC;340000033;340780055;34032;BEZIERS;34525;2 R VALENTIN HAUY;25;3;1426
2021;CL CLEMENTVILLE;2a;PRIVE LUCRATIF;340780675;340000298;34172;MONTPELLIER;34000;25 R DE CLEMENTVILLE;38;7;2004
2018;POLYCLINIQUE STE THERESE;1;PRIVE LUCRATIF;340780741;340000348;34301;SETE;34200;6 QUAI DU MAS COULET;25;2;474
2022;POLYCL STE THERESE SETE;1;PRIVE LUCRATIF;340780741;340000348;34301;SETE;34200;6 QU DU MAS COULET;23;3;580
2013;ET. SOINS  LA-SAGESSE   RENNES;2a;PRIVE NON LUCRATIF;350000139;350001137;35238;RENNES;35043;4 PL ST GUENOLE;57;8;3220
2018;CLINIQUE MUTUALISTE DE LA SAGESSE;2a;PRIVE NON LUCRATIF;350000139;350001137;35238;RENNES;35043;4 PL ST GUENOLE;57;8;3537
2021;CLINIQUE MUTUALISTE DE LA SAGESSE;2a;PRIVE NON LUCRATIF;350000139;350001137;35238;RENNES;35043;4 PL ST GUENOLE;53;8;3628
2022;CENTRE HOSPITALIER SAINT-MALO;2a;PUBLIC;350000147;350000022;35288;SAINT MALO;35403;1 R DE LA MARNE;26;4;1639
2023;CENTRE HOSPITALIER SAINT-MALO;2a;PUBLIC;350000147;350000022;35288;SAINT MALO;35403;1 R DE LA MARNE;26;4;1497
2013;C.H FOUGERES;2a;PUBLIC;350000154;350000030;35115;FOUGERES;35305;133 R DE LA FORET;18;4;937
2015;C.H FOUGERES;2a;PUBLIC;350000154;350000030;35115;FOUGERES;35305;133 R DE LA FORET;14;4;848
2016;CENTRE HOSPITALIER DE REDON;1;PUBLIC;350000162;350000048;35236;REDON;35603;8 AV ETIENNE GASCON;12;2;589
2017;CENTRE HOSPITALIER VITRE;2a;PUBLIC;350000188;350000055;35360;VITRE;35506;30 RTE DE RENNES;18;2;745
2017;CHRU RENNES SITE HOPITAL SUD;3;PUBLIC;350007084;350005179;35238;RENNES;35000;16 BD DE BULGARIE;73;15;3600
2015;CH CHATEAUROUX;2a;PUBLIC;360000137;360000053;36044;CHATEAUROUX;36019;216 AV DE VERDUN;38;5;1382
2014;CH DU BLANC;1;PUBLIC;360000160;360000079;36018;LE BLANC;36300;5 R PIERRE MILON;13;1;338
2016;CH DU CHINONAIS;1;PUBLIC;370000531;370000606;37210;SAINT-BENOIT-LA-FORET;37500;28 RTE DEPARTEMENTALE 751;12;3;553
