BOR,AN,420,FI_EJ,LIT_MED,JLI_MED,SEJHC_MED,SEJ0_MED,JOU_MED,LIT_CHI,JLI_CHI,SEJHC_CHI,SEJ0_CHI,JOU_CHI,LIT_OBS,JLI_OBS,SEJHC_OBS,SEJ0_OBS,JOU_OBS,LIT_MCO,JLI_MCO,SEJHC_MCO,SEJ0_MCO,JOU_MCO,PLA_MED,SEJHP_MED,PLAN_MED,SEJN_MED,SEA_MED,PLA_CHI,SEJHP_CHI,PLA_OBS,SEJHP_OBS,PLAN_OBS,SEJN_OBS,PLA_MCO,SEJHP_MCO,PLAN_MCO,SEJN_MCO,SEA_MCO,PCAR,PDER,PEND,PGAS,PNEU,PPED,PPNE,PRHU,POPH,DEND,DNEU,DPED,DOPH,ACTCLI_PM,ACTCLI_SAG,ACTTEC_PM,ACTTEC_DEN,ACTTEC_SAG,ACTTEC_PNM
MCO,2018,10000024,10780054,272,96534,15033,1108,85835,73,25176,3969,134,17556,43,15695,3867,813,13070,388,137405,22869,2055,116461,14,2462,,,39403,20,5242,4,0,,,38,7704,,,39403,1,1,1,1,1,1,1,1,1,180,205,65,,94461,6465,67430,559,11723,8534
MCO,2018,10000032,10780062,66,24090,3861,337,20250,17,6205,1060,27,5002,10,3650,554,56,1803,93,33945,5475,420,27055,4,74,,,903,5,1323,0,96,,,9,1493,,,903,1,0,1,1,1,1,1,1,0,182,47,91,,17843,1334,18844,0,2272,2782
MCO,2018,10000065,10780096,59,21535,2241,25,19092,,,0,0,0,,,0,0,0,59,21535,2241,25,19092,,0,,,3,,0,,0,,,,0,,,3,,,1,,,,1,,,,,,,,,,,,
MCO,2018,10000099,10780120,9,3285,148,1,1870,,,0,0,0,,,0,0,0,9,3285,148,1,1870,,0,,,0,,0,,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
MCO,2018,10000107,10780138,15,5475,201,1,2384,,,0,0,0,,,0,0,0,15,5475,201,1,2384,0,0,,,0,,0,,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
MCO,2018,10000115,10009132,12,4380,125,0,2934,,,0,0,0,,,0,0,0,12,4380,125,0,2934,,0,,,0,,0,,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
MCO,2018,10000131,10009132,8,2920,199,1,2853,,,0,0,0,,,0,0,0,8,2920,199,1,2853,,0,,,0,,0,,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
MCO,2018,10000180,10007987,10,3650,318,2,2680,,,0,0,0,,,0,0,0,10,3650,318,2,2680,,0,,,0,,0,,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
MCO,2018,10000214,10007987,20,7300,265,1,4038,,,0,0,0,,,0,0,0,20,7300,265,1,4038,,0,,,0,,0,,0,,,,0,,,0,0,0,0,0,0,0,1,,0,,,,,1021,,,,,2738
MCO,2018,10005239,10008407,60,23364,4504,370,21479,26,9490,1262,78,5235,21,7665,957,119,3149,107,40519,6723,567,29863,7,753,,,176,7,1589,1,115,,,15,2457,,,176,1,0,1,1,1,1,0,0,1,,,,,23167,5738,30193,0,5408,7625
