BOR;AN;FI;FI_EJ;GDE;AUT;LIT;PLA;APEC;SEJHC;JOUHC;SEJ3M;JOUHP
SSR;2018;010000032;010780062;SSR_A;;40;8;;545;13490;9;1814
SSR;2018;010000032;010780062;SSR_A50;1;40;8;0;;13490;;1814
SSR;2018;010000032;010780062;SSR_TOT;;40;8;0;545;13490;9;1814
SSR;2018;010000065;010780096;SSR_A;;69;;;812;23057;36;0
SSR;2018;010000065;010780096;SSR_A50;1;34;;0;;11782;;0
SSR;2018;010000065;010780096;SSR_A59;1;35;;0;;11275;;0
SSR;2018;010000065;010780096;SSR_TOT;;69;;0;812;23057;36;0
SSR;2018;010000081;010780112;SSR_A;;20;0;;177;6791;12;0
SSR;2018;010000081;010780112;SSR_A50;1;20;0;1;;6791;;0
SSR;2018;010000081;010780112;SSR_TOT;;20;0;0;177;6791;12;0
SSR;2018;010000099;010780120;SSR_A;;20;;;333;7570;1;0
SSR;2018;010000099;010780120;SSR_A50;1;20;;0;;7570;;0
SSR;2018;010000099;010780120;SSR_TOT;;20;;0;333;7570;1;0
SSR;2018;010000107;010780138;SSR_A;;20;;;320;8045;6;0
SSR;2018;010000107;010780138;SSR_A50;1;20;;0;;8045;;0
SSR;2018;010000107;010780138;SSR_TOT;;20;;0;320;8045;6;0
SSR;2018;010000115;010009132;SSR_A;;18;;;204;6259;2;0
SSR;2018;010000115;010009132;SSR_A50;1;18;;0;;6259;;0
SSR;2018;010000115;010009132;SSR_TOT;;18;;0;204;6259;2;0
SSR;2018;010000131;010009132;SSR_A;;29;;;414;10063;1;0
SSR;2018;010000131;010009132;SSR_A50;1;29;;0;;10063;;0
SSR;2018;010000131;010009132;SSR_TOT;;29;;0;414;10063;1;0
SSR;2018;010000180;010007987;SSR_A;;40;;;573;11591;0;0
SSR;2018;010000180;010007987;SSR_A58;1;40;;0;;11591;;0
SSR;2018;010000180;010007987;SSR_TOT;;40;;0;573;11591;0;0
SSR;2018;010000198;010007987;SSR_A;;85;;;1112;21269;7;0
SSR;2018;010000198;010007987;SSR_A50;1;;;0;;0;;0
SSR;2018;010000198;010007987;SSR_A51;1;85;;;;21269;;0
SSR;2018;010000198;010007987;SSR_E;;4;;;85;1002;0;0
SSR;2018;010000198;010007987;SSR_E50;1;0;;0;;0;;0
SSR;2018;010000198;010007987;SSR_E51;1;4;;0;;1002;;0
SSR;2018;010000198;010007987;SSR_TOT;;89;;0;1197;22271;7;0
SSR;2018;010000214;010007987;SSR_A;;111;;;886;32897;48;0
SSR;2018;010000214;010007987;SSR_A50;1;4;;0;;513;;0
SSR;2018;010000214;010007987;SSR_A51;1;18;;;;5786;;0
SSR;2018;010000214;010007987;SSR_A54;1;34;;0;;9390;;0
SSR;2018;010000214;010007987;SSR_A59;1;55;;0;;17208;;0
SSR;2018;010000214;010007987;SSR_TOT;;111;;0;886;32897;48;0
SSR;2018;010002129;750056335;SSR_A;;100;;;956;35878;72;0
SSR;2018;010002129;750056335;SSR_A50;1;47;;0;;15925;;0
SSR;2018;010002129;750056335;SSR_A51;1;20;;;;10674;;0
SSR;2018;010002129;750056335;SSR_A52;1;33;;0;;9279;;0
SSR;2018;010002129;750056335;SSR_TOT;;100;;0;956;35878;72;0
SSR;2018;010005239;010008407;SSR_A;;30;;;323;10058;6;0
SSR;2018;010005239;010008407;SSR_A50;1;30;;0;;10058;;0
SSR;2018;010005239;010008407;SSR_TOT;;30;;0;323;10058;6;0
SSR;2018;010008852;010783009;SSR_A;;;10;;0;0;0;2685
SSR;2018;010008852;010783009;SSR_A50;1;;;0;;0;;0
SSR;2018;010008852;010783009;SSR_A52;1;;10;0;;0;;2685
SSR;2018;010008852;010783009;SSR_TOT;;;10;0;0;0;0;2685
SSR;2018;010009314;010780054;SSR_A;;70;13;;695;18012;18;3379
SSR;2018;010009314;010780054;SSR_A50;1;10;;0;;0;;0
SSR;2018;010009314;010780054;SSR_A53;1;;;0;;0;;1520
SSR;2018;010009314;010780054;SSR_A54;1;;;0;;0;;608
SSR;2018;010009314;010780054;SSR_A59;1;60;13;0;;18012;;1251
SSR;2018;010009314;010780054;SSR_TOT;;70;13;0;695;18012;18;3379
SSR;2018;010780252;010783009;SSR_A;;71;;;566;20590;35;0
SSR;2018;010780252;010783009;SSR_A50;1;;;0;;0;;0
SSR;2018;010780252;010783009;SSR_A51;1;66;;;;18253;;0
SSR;2018;010780252;010783009;SSR_A52;1;5;;0;;2337;;0
SSR;2018;010780252;010783009;SSR_TOT;;71;;0;566;20590;35;0
SSR;2018;010780278;010783009;SSR_A;;100;;;452;31269;152;0
SSR;2018;010780278;010783009;SSR_A50;1;;;0;;0;;0
SSR;2018;010780278;010783009;SSR_A51;1;25;;;;7881;;0
SSR;2018;010780278;010783009;SSR_A52;1;75;;0;;23388;;0
SSR;2018;010780278;010783009;SSR_TOT;;100;;0;452;31269;152;0
SSR;2018;010780310;010000222;SSR_A;;38;;;310;11284;17;0
SSR;2018;010780310;010000222;SSR_A50;1;20;;0;;5170;;0
SSR;2018;010780310;010000222;SSR_A54;1;18;;0;;6114;;0
SSR;2018;010780310;010000222;SSR_TOT;;38;;0;310;11284;17;0
