BEN_RES_DPT,sej_type,type_parcours,SSR_TYPE,nb
59,PTH,CSC,DOM,132
59,PTG,CSC,DOM,101
59,PTG,CSC,HC,86
62,PTH,CSC,DOM,79
33,PTH,CSC,DOM,77
62,PTG,CSC,DOM,70
13,PTG,CSC,HC,69
76,PTH,CSC,DOM,63
29,PTH,CSC,DOM,62
33,PTG,CSC,DOM,60
59,PTH,CSC,HC,59
14,PTH,CSC,DOM,57
56,PTH,CSC,DOM,53
77,PTH,CSC,DOM,53
13,PTH,CSC,DOM,52
45,PTH,CSC,DOM,51
6,PTG,CSC,HC,50
13,PTH,CSC,HC,50
76,PTG,CSC,DOM,47
44,PTH,CSC,DOM,46
62,PTG,CSC,HC,46
6,PTH,CSC,DOM,44
91,PTH,CSC,DOM,42
33,PTG,CSC,HC,41
35,PTH,CSC,DOM,41
40,PTH,CSC,DOM,41
84,PTH,CSC,DOM,41
97,PTG,CSC,HC,41
30,PTH,CSC,DOM,40
34,PTG,CSC,HC,40
91,PTG,CSC,HC,40
31,PTG,CSC,HC,38
34,PTH,CSC,DOM,38
60,PTH,CSC,DOM,37
68,PTH,CSC,DOM,37
78,PTG,CSC,HC,37
94,PTH,CSC,DOM,37
30,PTG,CSC,DOM,36
50,PTH,CSC,DOM,36
64,PTH,CSC,DOM,36
6,PTH,CSC,HC,35
31,PTH,CSC,DOM,35
57,PTG,CSC,DOM,35
75,PTH,CSC,DOM,35
83,PTG,CSC,HC,35
83,PTH,CSC,DOM,35
84,PTG,CSC,DOM,35
56,PTG,CSC,DOM,33
64,PTG,CSC,HC,33
77,PTG,CSC,DOM,33
95,PTH,CSC,DOM,33
13,PTG,CSC,DOM,32
29,PTG,CSC,HC,32
60,PTG,CSC,DOM,32
62,PTH,CSC,HC,32
78,PTH,CSC,DOM,32
2,PTH,CSC,DOM,31
28,PTH,CSC,DOM,31
29,PTH,CSC,HC,31
67,PTG,CSC,DOM,31
17,PTH,CSC,DOM,30
29,PTG,CSC,DOM,30
30,PTG,CSC,HC,30
45,PTG,CSC,HC,30
77,PTG,CSC,HC,30
93,PTH,CSC,DOM,30
27,PTH,CSC,DOM,29
40,PTG,CSC,DOM,29
44,PTG,CSC,DOM,29
67,PTH,CSC,DOM,29
83,PTH,CSC,HC,29
95,PTG,CSC,HC,29
60,PTG,CSC,HC,28
68,PTG,CSC,DOM,28
68,PTG,CSC,HC,28
92,PTG,CSC,HC,28
45,PTG,CSC,DOM,27
75,PTG,CSC,HC,27
24,PTG,CSC,HC,26
31,PTH,CSC,HC,26
66,PTG,CSC,HC,26
92,PTH,CSC,DOM,26
35,PTG,CSC,DOM,25
37,PTH,CSC,DOM,25
38,PTH,CSC,DOM,25
40,PTG,CSC,HC,25
57,PTH,CSC,DOM,25
97,PTG,CSC,DOM,25
24,PTG,CSC,DOM,24
24,PTH,CSC,DOM,24
64,PTG,CSC,DOM,24
68,PTH,CSC,HC,24
74,PTH,CSC,DOM,24
78,PTH,CSC,HC,24
80,PTH,CSC,DOM,24
81,PTG,CSC,DOM,24
83,PTG,CSC,DOM,24
14,PTH,CSC,HC,23
34,PTH,CSC,HC,23
38,PTG,CSC,DOM,23
65,PTH,CSC,DOM,23
93,PTG,CSC,HC,23
94,PTG,CSC,HC,23
97,PTH,CSC,DOM,23
6,PTG,CSC,DOM,22
49,PTG,CSC,DOM,22
49,PTH,CSC,DOM,22
65,PTG,CSC,DOM,22
91,PTH,CSC,HC,22
11,PTG,CSC,HC,21
30,PTH,CSC,HC,21
